시구,설치장소,주소,급속충전기(대),완속충전기(대)
전체,가평소방서,경기도 가평군 가평읍 대곡리 213-5,1 ,0 
전체,가평종합운동장,경기도 가평군 가평읍 대곡리 316,2 ,0 
전체,가평지사,경기도 가평군 가평읍 가화로 169-11,1 ,1 
전체,가평하수도사업소,경기도 가평군 가평읍 달전리 364,1 ,0 
전체,상면사무소,경기도 가평군 상면 연하리 171-1,1 ,0 
전체,설악면사무소,경기도 가평군 설악면 신천리 156-1,1 ,0 
전체,조종면사무소,경기도 가평군 조종면 현리 567-7,1 ,0 
전체,LH강남힐스테이트,서울특별시 강남구 자곡동 자곡로3길 21,1 ,4 
전체,LH서울지사,서울특별시 강남구 선릉로 121길 12,1 ,0 
전체,가람아파트,서울특별시 강남구 일원동 일원로 127,1 ,0 
전체,강남구청 공영주차장,서울특별시 강남구 삼성동 16-1,1 ,0 
전체,강남데시앙파크,서울특별시 강남구 세곡동 헌릉로590길 63,1 ,1 
전체,강남데시앙포레,서울특별시 강남구 수서동 광평로34길55,1 ,3 
전체,강남세브란스 병원,서울특별시 강남구 언주로 211,2 ,0 
전체,강남아이파크,서울특별시 강남구 자곡동 자곡로 175,1 ,1 
전체,강남한신휴 플러스8단지,서울특별시 강남구 율현동 밤고개로27길 20,0 ,2 
전체,강남한신휴플러스6단지 아파트,서울특별시 강남구 율현동 밤고개로26길 50,1 ,2 
전체,강남한양수자인,서울특별시 강남구 자곡동 자곡로 260,1 ,4 
전체,개나리래미안 아파트,서울특별시 강남구 역삼동 역삼로 306,1 ,2 
전체,개나리푸르지오,서울특별시 강남구 역삼동 755-1,0 ,3 
전체,개포7차 우성 아파트,서울특별시 강남구 일원동 개포로110길 15,1 ,1 
전체,금호어울림 아파트(삼성동),서울특별시 강남구 삼성동 봉은사로111길 25,0 ,1 
전체,대치2문화센터 공영주차장,서울특별시 강남구 대치동 980-9,1 ,0 
전체,대치현대 아파트,서울특별시 강남구 대치동 삼성로64길 5,1 ,1 
전체,도곡대림아크로빌,서울특별시 강남구 도곡동 언주로30길 13,1 ,0 
전체,도곡렉슬 아파트,서울특별시 강남구 도곡동 선릉로 221,2 ,2 
전체,도성 아파트,서울특별시 강남구 삼성로67길 14,0 ,2 
전체,라테라스삼성,서울특별시 강남구 삼성동 봉은사로 645,0 ,1 
전체,래미안강남힐즈,서울특별시 강남구 자곡동 자곡로 101,1 ,2 
전체,래미안그레이튼,서울특별시 강남구 역삼동 도곡로43길 20,1 ,1 
전체,래미안대치팰리스,서울특별시 강남구 대치동 삼성로51길 37,2 ,0 
전체,래미안대치하이스턴 아파트,서울특별시 강남구 대치동 도곡로93길 12,1 ,1 
전체,래미안삼성1차,서울특별시 강남구 삼성동 103-22,0 ,2 
전체,삼성동 에스케이뷰 아파트,서울특별시 강남구 삼성동 봉은사로109길 14-8,0 ,1 
전체,삼성동한일아파트,서울특별시 강남구 삼성동 48,0 ,1 
전체,삼성동현대아파트,서울특별시 강남구 삼성동 학동로64길 14,0 ,1 
전체,삼성동힐스테이트2단지,서울특별시 강남구 삼성로 111길 8,1 ,3 
전체,삼성우정에쉐르아파트,서울특별시 강남구 삼성동 3-8,0 ,2 
전체,삼성중앙하이츠빌리지,서울특별시 강남구 삼성동 학동로68길 30,0 ,1 
전체,삼성파크 아파트,서울특별시 강남구 삼성동 삼성로99길 14,0 ,2 
전체,샘터마을 아파트,서울특별시 강남구 일원동 일원로 120,1 ,0 
전체,세곡리엔파크1단지,서울특별시 강남구 세곡동 508,0 ,3 
전체,세곡리엔파크2단지 아파트,서울특별시 강남구 세곡동 헌릉로 590길10,1 ,0 
전체,세곡리엔파크3단지,서울특별시 강남구 세곡동 헌릉로590길 11,1 ,1 
전체,세곡푸르지오아파트,서울특별시 강남구 세곡동 533,1 ,1 
전체,아이파크삼성동,서울특별시 강남구 삼성동 영동대로 640,1 ,0 
전체,아크로힐스논현,서울특별시 강남구 논현동 276-1,1 ,2 
전체,압구정하이츠파크,서울특별시 강남구 신사동 압구정로42길 78,0 ,2 
전체,역삼2차아이파크아파트,서울특별시 강남구 역삼동 도곡로57길 12,0 ,3 
전체,역삼e-편한세상,서울특별시 강남구 역삼동 755-4,1 ,3 
전체,역삼래미안,서울특별시 강남구 역삼동 757,1 ,4 
전체,우정에쉐르 3차,서울특별시 강남구 대치동 950,0 ,1 
전체,청담래미안로이뷰,서울특별시 강남구 청담동 영동대로142길 16,0 ,1 
전체,청담자이 아파트,서울특별시 강남구 청담동 영동대로138길 12,1 ,3 
전체,청담파크파라곤,서울특별시 강남구 청담동 학동로97길 31,0 ,1 
전체,타워팰리스 2차,서울특별시 강남구 도곡동 언주로30길 57,1 ,1 
전체,타워팰리스1차,서울특별시 강남구 도곡동 언주로30길 56,1 ,4 
전체,타워팰리스G동,서울특별시 강남구 도곡동 언주로30길 26,1 ,2 
전체,헌릉로745길 노상주차장,서울특별시 강남구 율현동 101-13,1 ,0 
전체,현대까르띠에710아파트,서울특별시 강남구 역삼동 710,0 ,2 
전체,GS강동자이 아파트,서울특별시 강동구 천호대로 1239(길동),1 ,2 
전체,강동보건소,서울특별시 강동구 성내동 541-2,1 ,0 
전체,강동송파지사,서울특별시 강동구 둔촌동 522-9,1 ,3 
전체,강동헤르셔,서울특별시 강동구 천호동 천호대로 1089,1 ,2 
전체,강일리버파크 6단지,서울특별시 강동구 강일동 아리수로94길 19,1 ,0 
전체,강일리버파크10단지,서울특별시 강동구 강일동 고덕로97길 20,1 ,0 
전체,강일리버파크11단지,서울특별시 강동구 강일동 고덕로97길 100,0 ,1 
전체,강일리버파크3단지,서울특별시 강동구 강일동 아리수로93길 40,1 ,1 
전체,강일리버파크5단지,서울특별시 강동구 강일동 아리수로97길 20,1 ,3 
전체,강일리버파크7단지 아파트,서울특별시 강동구 아리수로98길 25,1 ,3 
전체,경보그레이스 힐,서울특별시 강동구 성내동 풍성로53길 40,0 ,2 
전체,고덕리엔파크1단지,서울특별시 강동구 상일로 152,0 ,2 
전체,고덕리엔파크3단지 아파트,서울특별시 강동구 상일로 74,2 ,6 
전체,고덕아이파크,서울특별시 강동구 고덕동 동남로79길 26,1 ,3 
전체,길동삼익파크,서울특별시 강동구 길동 명일로 293,1 ,2 
전체,대우한강베네시티 아파트,서울특별시 강동구 올림픽로 664,0 ,2 
전체,둔촌푸르지오아파트,서울특별시 강동구 둔촌동 명일로 172,1 ,3 
전체,명일동 공영주차장,서울특별시 강동구 구천면로 395(명일동),2 ,0 
전체,명일한양아파트,서울특별시 강동구 명일동 동남로71길 19,1 ,0 
전체,삼익가든아파트,서울특별시 강동구 명일동 260-1,0 ,2 
전체,성내1차이편한세상,서울특별시 강동구 성내동 598,0 ,2 
전체,성내동중앙하이츠,서울특별시 강동구 성내동 410-2,0 ,1 
전체,성내삼성 아파트,서울특별시 강동구 성내동 풍성로 128,1 ,4 
전체,신성둔촌미소지움아파트 입주자대표회의,서울특별시 강동구 둔촌동 명일로 102,1 ,2 
전체,암사라인 아파트,서울특별시 강동구 암사동 고덕로 53,0 ,1 
전체,암펠로스타워,서울특별시 강동구 둔촌동 명일로 110,0 ,1 
전체,천호1동 공영주차장,서울특별시 강동구 구천면로 42길 60(천호동),2 ,0 
전체,한강포스파크아파트,서울특별시 강동구 암사동 고덕로19길 30,0 ,1 
전체,한강현대 아파트,서울특별시 강동구 암사동 올림픽로104길 41,1 ,2 
전체,현대백화점 천호점,서울특별시 강동구 천호대로 1005,3 ,0 
전체,홈플러스 강동점,서울특별시 강동구 양재대로 1571,1 ,0 
전체,힐스테이트암사,서울특별시 강동구 암사동 675,0 ,5 
전체,LH선수촌8단지아파트,강원도 강릉시 유천동 778,0 ,8 
전체,감자연구소,강원도 강릉시 사천면 노동리 466-1,1 ,0 
전체,강남동주민센터,강원도 강릉시 노암동 133,1 ,0 
전체,강릉 교동2차현대아파트,강원도 강릉시 교동 1767,1 ,1 
전체,강릉금호어울림,강원도 강릉시 입암동 321,1 ,6 
전체,강릉농협 하나로마트,강원도 강릉시 성남동 26-1,1 ,0 
전체,강릉더샵 아파트,강원도 강릉시 입암동 711,1 ,1 
전체,강릉축협 하나로마트,강원도 강릉시 입암동 448,1 ,0 
전체,강릉특별지사,강원도 강릉시 포남동 1255,1 ,3 
전체,강릉회산LH천년나무2단지,강원도 강릉시 회산동 604,1 ,0 
전체,강원도교육연수원,강원도 강릉시 초당동 57-18,1 ,0 
전체,강원도립대학,강원도 강릉시 주문진읍 교항리 8-2,1 ,0 
