시도,지역구분,출고대수
서울,서울특별시,6470
부산,부산광역시,1501
대구,대구광역시,4620
인천,인천광역시,1215
광주,광주광역시,1029
대전,대전광역시,1296
울산,울산광역시,584
세종,세종특별자치시,367
경기,수원시,507
경기,성남시,358
경기,의정부시,79
경기,안양시,121
경기,부천시,201
경기,광명시,52
경기,평택시,144
경기,동두천시,29
경기,안산시,203
경기,고양시,387
경기,과천시,15
경기,구리시,54
경기,남양주시,298
경기,오산시,69
경기,시흥시,163
경기,군포시,58
경기,의왕시,40
경기,하남시,122
경기,용인시,411
경기,파주시,183
경기,이천시,64
경기,안성시,64
경기,김포시,199
경기,화성시,257
경기,광주시,63
경기,양주시,103
경기,포천시,37
경기,여주시,44
경기,연천군,23
경기,가평군,25
경기,양평군,48
강원,춘천시,281
강원,원주시,200
강원,강릉시,40
강원,동해시,45
강원,태백시,
강원,속초시,33
강원,삼척시,77
강원,홍천군,19
강원,횡성군,13
강원,영월군,10
강원,평창군,
강원,정선군,
강원,철원군,10
강원,화천군,11
강원,양구군,24
강원,인제군,20
강원,고성군,11
강원,양양군,11
충북,청주시,446
충북,충주시,256
충북,제천시,50
충북,보은군,18
충북,옥천군,37
충북,영동군,30
충북,증평군,21
충북,진천군,50
충북,괴산군,48
충북,음성군,60
충북,단양군,39
충남,천안시,412
충남,공주시,56
충남,보령시,62
충남,아산시,290
충남,서산시,127
충남,논산시,0
충남,계룡시,
충남,당진시,147
충남,금산군,17
충남,부여군,0
충남,서천군,50
충남,청양군,16
충남,홍성군,
충남,예산군,17
충남,태안군,17
전북,전주시,174
전북,군산시,116
전북,익산시,119
전북,정읍시,78
전북,남원시,30
전북,김제시,21
전북,완주군,80
전북,진안군,22
전북,무주군,14
전북,장수군,10
전북,임실군,21
전북,순창군,24
전북,고창군,30
전북,부안군,29
전남,목포시,61
전남,여수시,237
전남,순천시,263
전남,나주시,290
전남,광양시,100
전남,담양군,8
전남,곡성군,
전남,구례군,
전남,고흥군,8
전남,보성군,5
전남,화순군,
전남,장흥군,8
전남,강진군,5
전남,해남군,
전남,영암군,
전남,무안군,54
전남,함평군,5
전남,영광군,82
전남,장성군,
전남,완도군,12
전남,진도군,5
전남,신안군,
경북,포항시,597
경북,경주시,271
경북,김천시,60
경북,안동시,
경북,구미시,256
경북,영주시,41
경북,영천시,37
경북,상주시,
경북,문경시,0
경북,경산시,
경북,군위군,
경북,의성군,18
경북,청송군,10
경북,영양군,6
경북,영덕군,28
경북,청도군,
경북,고령군,
경북,성주군,60
경북,칠곡군,40
경북,예천군,16
경북,봉화군,
경북,울진군,22
경북,울릉군,48
경남,창원시,526
경남,진주시,141
경남,통영시,64
경남,사천시,34
경남,김해시,160
경남,밀양시,38
경남,거제시,40
경남,양산시,136
경남,의령군,13
경남,함안군,14
경남,창녕군,30
경남,고성군,10
경남,남해군,15
경남,하동군,32
경남,산청군,20
경남,함양군,
경남,거창군,20
경남,합천군,13
제주,제주특별자치도,3950
공단,한국환경공단,156
,,
,,
,,
,,
,,
,,
,,
,,
,,
