,시도,지역구분,차종,출고대수
0,서울,서울특별시,승용,5551
1,서울,서울특별시,화물,1289
2,서울,서울특별시,승합,249
3,부산,부산광역시,승용,883
4,부산,부산광역시,화물,761
5,부산,부산광역시,승합,60
6,대구,대구광역시,승용,935
7,대구,대구광역시,화물,729
8,대구,대구광역시,승합,74
9,인천,인천광역시,승용,1888
10,인천,인천광역시,화물,369
11,광주,광주광역시,승용,511
12,광주,광주광역시,화물,180
13,대전,대전광역시,승용,1291
14,대전,대전광역시,화물,665
15,울산,울산광역시,승용,647
16,울산,울산광역시,화물,170
17,세종,세종특별자치시,승용,100
18,경기,수원시,승용,459
19,경기,수원시,화물,98
20,경기,수원시,승합,104
21,경기,성남시,승용,475
22,경기,성남시,화물,69
23,경기,의정부시,승용,122
24,경기,의정부시,화물,69
25,경기,안양시,승용,203
26,경기,안양시,화물,77
27,경기,안양시,승합,19
28,경기,부천시,승용,194
29,경기,부천시,화물,20
30,경기,부천시,승합,19
31,경기,광명시,승용,67
32,경기,광명시,화물,98
33,경기,광명시,승합,5
34,경기,평택시,승용,150
35,경기,평택시,화물,144
36,경기,동두천시,승용,25
37,경기,동두천시,화물,40
38,경기,안산시,승용,250
39,경기,안산시,화물,52
40,경기,안산시,승합,13
41,경기,고양시,승용,349
42,경기,고양시,화물,142
43,경기,고양시,승합,58
44,경기,과천시,승용,37
45,경기,과천시,화물,18
46,경기,구리시,승용,51
47,경기,구리시,화물,18
48,경기,남양주시,승용,290
49,경기,남양주시,화물,58
50,경기,오산시,승용,73
51,경기,오산시,화물,23
52,경기,오산시,승합,6
53,경기,시흥시,승용,156
54,경기,시흥시,화물,36
55,경기,군포시,승용,77
56,경기,군포시,화물,38
57,경기,의왕시,승용,88
58,경기,의왕시,화물,43
59,경기,하남시,승용,105
60,경기,하남시,화물,34
61,경기,하남시,승합,4
62,경기,용인시,승용,502
63,경기,용인시,화물,73
64,경기,파주시,승용,167
65,경기,파주시,화물,93
66,경기,파주시,승합,10
67,경기,이천시,승용,72
68,경기,이천시,화물,43
69,경기,안성시,승용,54
70,경기,안성시,화물,52
71,경기,김포시,승용,301
72,경기,김포시,화물,63
73,경기,김포시,승합,33
74,경기,화성시,승용,392
75,경기,화성시,화물,110
76,경기,화성시,승합,1
77,경기,광주시,승용,159
78,경기,광주시,화물,38
79,경기,양주시,승용,94
80,경기,양주시,화물,83
81,경기,양주시,승합,10
82,경기,포천시,승용,49
83,경기,포천시,화물,13
84,경기,여주시,승용,44
85,경기,여주시,화물,63
86,경기,연천군,승용,22
87,경기,연천군,화물,24
88,경기,가평군,전체,44
89,경기,양평군,승용,95
90,경기,양평군,화물,17
91,강원,춘천시,승용,290
92,강원,춘천시,화물,313
93,강원,춘천시,승합,4
94,강원,원주시,승용,164
