시도,지역구분,차종,전체
서울,서울특별시,전기승용,13679
부산,부산광역시,전기승용,4908
대구,대구광역시,전기승용,3107
인천,인천광역시,전기승용,4264
광주,광주광역시,전기승용,1189
대전,대전광역시,전기승용,2918
울산,울산광역시,전기승용,513
세종,세종특별자치시,전기승용,411
경기,수원시,전기승용,933
경기,성남시,전기승용,1007
경기,의정부시,전기승용,360
경기,안양시,전기승용,475
경기,부천시,전기승용,376
경기,광명시,전기승용,219
경기,평택시,전기승용,293
경기,동두천시,전기승용,58
경기,안산시,전기승용,525
경기,고양시,전기승용,923
경기,과천시,전기승용,90
경기,구리시,전기승용,123
경기,남양주시,전기승용,433
경기,오산시,전기승용,145
경기,시흥시,전기승용,163
경기,군포시,전기승용,168
경기,의왕시,전기승용,153
경기,하남시,전기승용,345
경기,용인시,전기승용,1265
경기,파주시,전기승용,391
경기,이천시,전기승용,172
경기,안성시,전기승용,109
경기,김포시,전기승용,663
경기,화성시,전기승용,584
경기,광주시,전기승용,349
경기,양주시,전기승용,190
경기,포천시,전기승용,72
경기,여주시,전기승용,102
경기,연천군,전기승용,51
경기,가평군,전기승용,87
경기,양평군,전기승용,157
강원,춘천시,전기승용,575
강원,원주시,전기승용,522
강원,강릉시,전기승용,443
강원,동해시,전기승용,83
강원,태백시,전기승용,45
강원,속초시,전기승용,112
강원,삼척시,전기승용,62
강원,홍천군,전기승용,50
강원,횡성군,전기승용,48
강원,영월군,전기승용,34
강원,평창군,전기승용,36
강원,정선군,전기승용,26
강원,철원군,전기승용,36
강원,화천군,전기승용,20
강원,양구군,전기승용,20
강원,인제군,전기승용,43
강원,고성군,전기승용,28
강원,양양군,전기승용,32
충북,청주시,전기승용,1104
충북,충주시,전기승용,605
충북,제천시,전기승용,299
충북,보은군,전기승용,28
충북,옥천군,전기승용,54
충북,영동군,전기승용,46
충북,증평군,전기승용,7
충북,진천군,전기승용,104
충북,괴산군,전기승용,28
충북,음성군,전기승용,135
충북,단양군,전기승용,58
충남,천안시,전기승용,816
충남,공주시,전기승용,108
충남,보령시,전기승용,77
충남,아산시,전기승용,290
충남,서산시,전기승용,320
충남,논산시,전기승용,183
충남,계룡시,전기승용,81
충남,당진시,전기승용,355
충남,금산군,전기승용,68
충남,부여군,전기승용,70
충남,서천군,전기승용,41
충남,청양군,전기승용,26
충남,홍성군,전기승용,69
충남,예산군,전기승용,105
충남,태안군,전기승용,43
전북,전주시,전기승용,519
전북,군산시,전기승용,373
전북,익산시,전기승용,341
전북,정읍시,전기승용,146
전북,남원시,전기승용,142
전북,김제시,전기승용,83
전북,완주군,전기승용,58
전북,진안군,전기승용,39
전북,무주군,전기승용,41
전북,장수군,전기승용,17
전북,임실군,전기승용,14
전북,순창군,전기승용,13
전북,고창군,전기승용,41
전북,부안군,전기승용,28
전남,목포시,전기승용,101
전남,여수시,전기승용,238
전남,순천시,전기승용,235
전남,나주시,전기승용,186
전남,광양시,전기승용,161
전남,담양군,전기승용,71
전남,곡성군,전기승용,37
전남,구례군,전기승용,14
전남,고흥군,,
전남,보성군,전기승용,34
전남,화순군,전기승용,37
전남,장흥군,전기승용,38
전남,강진군,전기승용,24
전남,해남군,전기승용,28
전남,영암군,전기승용,97
전남,무안군,전기승용,70
전남,함평군,전기승용,53
전남,영광군,전기승용,116
전남,장성군,전기승용,32
전남,완도군,전기승용,18
전남,진도군,전기승용,10
전남,신안군,전기승용,58
경북,포항시,전기승용,340
경북,경주시,전기승용,200
경북,김천시,전기승용,90
경북,안동시,전기승용,175
경북,구미시,전기승용,179
경북,영주시,전기승용,81
경북,영천시,전기승용,84
경북,상주시,전기승용,81
경북,문경시,전기승용,76
경북,경산시,전기승용,205
경북,군위군,전기승용,31
경북,의성군,전기승용,30
경북,청송군,전기승용,32
경북,영양군,전기승용,20
경북,영덕군,전기승용,34
경북,청도군,전기승용,35
경북,고령군,전기승용,22
경북,성주군,전기승용,58
경북,칠곡군,전기승용,66
경북,예천군,전기승용,38
경북,봉화군,전기승용,49
경북,울진군,전기승용,38
경북,울릉군,전기승용,63
경남,창원시,전기승용,1216
경남,진주시,전기승용,992
경남,통영시,전기승용,46
경남,사천시,전기승용,129
경남,김해시,전기승용,221
경남,밀양시,전기승용,169
경남,거제시,전기승용,132
경남,양산시,전기승용,445
경남,의령군,전기승용,27
경남,함안군,전기승용,52
경남,창녕군,전기승용,56
경남,고성군,전기승용,36
경남,남해군,전기승용,30
경남,하동군,전기승용,48
경남,산청군,전기승용,73
경남,함양군,전기승용,28
경남,거창군,전기승용,38
경남,합천군,전기승용,66
제주,제주특별자치도,전기승용,3092
